word,series_frequency,english_frequency,filter_reason,vocabulary_level
princess,17,15602441,Oxford 3000,B1
prime,14,39210803,Oxford 3000,C2
minister,13,52107215,Oxford 3000,B2
pig,11,11253390,Oxford 3000,A1
demand,8,56701899,Oxford 3000,B1
nothing,7,73363579,Oxford 3000,A2
doing,5,81188350,"High English frequency (81,188,350 > 20,000,000)",N/A
kill,4,31335290,Oxford 3000,A2
sir,4,20704773,Oxford 3000,B1
broadcast,4,21791081,Oxford 3000,B2
running,4,72955000,Oxford 3000,A2
viewer,4,15069216,Oxford 3000,B2
sorry,4,35595812,Oxford 3000,A1
police,4,64560602,Oxford 3000,A2
jesus,4,34929061,"High English frequency (34,929,061 > 20,000,000)",N/A
happened,3,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
held,3,76140043,"High English frequency (76,140,043 > 20,000,000)",N/A
afternoon,3,19441492,Oxford 3000,A1
appear,3,75869839,Oxford 3000,B1
television,3,57067792,Oxford 3000,A1
sexual,3,33634355,Oxford 3000,B2
seen,3,78381896,"High English frequency (78,381,896 > 20,000,000)",N/A
coverage,3,44227160,"High English frequency (44,227,160 > 20,000,000)",C1
tone,3,30770657,Oxford 3000,B2
onto,3,26411439,Oxford 3000,B1
camera,3,89324930,Oxford 3000,A1
visual,3,51525778,Oxford 3000,B2
happen,3,47239250,Oxford 3000,A2
opinion,3,89173988,Oxford 3000,B1
deadline,3,16660522,Vocabulary level below C (B2),B2
upload,3,22042919,"High English frequency (22,042,919 > 20,000,000)",B1
finger,3,23127249,Oxford 3000,A2
move,3,70113140,Oxford 3000,A2
advance,3,53806684,Oxford 3000,B2
screen,2,87983541,Oxford 3000,A2
cannot,2,88737,Oxford 3000,A1
depend,2,29194205,Oxford 3000,N/A
precisely,2,6265488,Vocabulary level below C (B2),B2
midnight,2,11673006,Oxford 3000,A2
contain,2,84698441,Oxford 3000,B1
satellite,2,45588215,Oxford 3000,B2
understand,2,65846056,Oxford 3000,A1
suspect,2,12963107,Oxford 3000,B2
focus,2,74721938,Oxford 3000,C2
everyone,2,64547036,Oxford 3000,A2
outside,2,67458757,Oxford 3000,A1
ten,2,50614853,Oxford 3000,A1
came,2,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
spread,2,27917385,Oxford 3000,B2
mention,2,21084996,Oxford 3000,B1
asking,2,19887691,Easy word (easy_words.csv),N/A
pretty,2,51699969,Oxford 3000,A2
warn,2,6936511,Oxford 3000,B1
across,2,76597151,Oxford 3000,A2
specify,2,25746551,"High English frequency (25,746,551 > 20,000,000)",B2
performer,2,9918395,Vocabulary level below C (B1),B1
