word,series_frequency,english_frequency,filter_reason,vocabulary_level
murder,19,17118348,Oxford 3000,B1
judge,19,41823225,Oxford 3000,B1
detective,11,5353706,Oxford 3000,B1
doing,10,81188350,"High English frequency (81,188,350 > 20,000,000)",A2
saying,10,38415068,Easy word (easy_words.csv),C2
anything,9,75999346,Oxford 3000,A1
tower,9,28125182,Oxford 3000,B1
gun,8,35217715,Oxford 3000,B1
hold,8,82741121,Oxford 3000,A2
sir,8,20704773,Oxford 3000,B1
guy,7,82889911,Oxford 3000,A2
shot,7,61225531,Oxford 3000,B2
roll,6,39810763,Oxford 3000,B1
deep,6,53536903,Oxford 3000,A2
beat,6,33984529,Easy word (easy_words.csv),B1
saw,6,50570151,"High English frequency (50,570,151 > 20,000,000)",A2
drink,6,40392266,Oxford 3000,A1
mouse,6,33667003,Oxford 3000,A2
though,5,91929439,Easy word (easy_words.csv),B1
behind,5,53892722,Oxford 3000,A1
wait,5,41363575,Oxford 3000,A1
ground,5,73622412,Oxford 3000,B1
drop,5,45620690,Oxford 3000,B1
identified,5,33222080,"High English frequency (33,222,080 > 20,000,000)",B2
witness,5,20024599,Oxford 3000,B2
seen,5,78381896,"High English frequency (78,381,896 > 20,000,000)",A2
nothing,5,73363579,Oxford 3000,A2
shooting,5,15473911,Oxford 3000,B2
else,5,96020036,Oxford 3000,A2
getting,5,93506861,"High English frequency (93,506,861 > 20,000,000)",A2
talking,5,36617848,"High English frequency (36,617,848 > 20,000,000)",A2
tomorrow,5,21262762,Oxford 3000,A1
morning,5,55268727,Oxford 3000,A1
okay,5,15466771,Easy word (easy_words.csv),N/A
dot,5,30692004,"High English frequency (30,692,004 > 20,000,000)",B1
happen,5,47239250,Oxford 3000,A2
running,4,72955000,Oxford 3000,A2
till,4,16477131,Oxford 3000,A2
sit,4,24359793,Oxford 3000,A1
whole,4,85317360,Oxford 3000,A2
guard,4,27127471,Oxford 3000,B1
remember,4,84324100,Oxford 3000,A1
crew,4,25430159,Oxford 3000,B1
listen,4,44504101,Oxford 3000,A1
coming,4,70099649,"High English frequency (70,099,649 > 20,000,000)",A2
bell,4,30027759,Oxford 3000,B1
everybody,4,14705200,Oxford 3000,A2
turn,4,97589879,Oxford 3000,A2
upstair,4,2573007,Oxford 3000,N/A
heard,4,45436523,"High English frequency (45,436,523 > 20,000,000)",A2
came,4,73311488,"High English frequency (73,311,488 > 20,000,000)",A2
bad,4,95146098,Oxford 3000,A1
sorry,4,35595812,Oxford 3000,A1
anybody,4,10367449,Oxford 3000,A2
trying,4,57462639,"High English frequency (57,462,639 > 20,000,000)",A2
hear,4,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
count,4,55675339,Oxford 3000,B1
brother,4,56375413,Oxford 3000,A1
