word,series_frequency,english_frequency,filter_reason,vocabulary_level
army,14,46902606,Oxford 3000,C2
battle,14,36341684,Oxford 3000,B1
fight,12,34268222,Oxford 3000,B1
die,12,54277728,Oxford 3000,A1
moment,12,47882449,Oxford 3000,A2
kill,11,31335290,Oxford 3000,A2
sister,9,35155790,Oxford 3000,A1
father,9,54388623,Oxford 3000,A1
secret,8,44597035,Oxford 3000,B1
daughter,8,33796898,Oxford 3000,A1
castle,8,20908984,Oxford 3000,A2
powerful,8,33538932,Oxford 3000,B1
happen,8,47239250,Oxford 3000,A2
royal,7,47361578,Oxford 3000,B2
viewer,7,15069216,Oxford 3000,B2
protect,7,42331974,Oxford 3000,B1
raven,7,6317523,Easy word (easy_words.csv),N/A
finally,7,48999091,Oxford 3000,A2
basically,6,12428283,Oxford 3000,B2
gone,6,34511028,"High English frequency (34,511,028 > 20,000,000)",N/A
walk,6,46873435,Oxford 3000,A1
revenge,6,6655322,Vocabulary level below C (B2),B2
burn,5,23062858,Oxford 3000,B1
completely,5,34385075,Oxford 3000,B1
loyal,5,4498834,Easy word (easy_words.csv),B2
greatest,5,25547808,"High English frequency (25,547,808 > 20,000,000)",N/A
learned,5,23121323,"High English frequency (23,121,323 > 20,000,000)",N/A
enemy,5,20766378,Oxford 3000,B1
grow,5,32600813,Oxford 3000,A2
creature,5,11281733,Oxford 3000,B1
brilliant,5,10323824,Oxford 3000,A2
pretty,5,51699969,Oxford 3000,A2
faith,5,36920083,Oxford 3000,B2
hero,4,12343606,Oxford 3000,B1
marriage,4,34309140,Oxford 3000,B1
sometime,4,52184367,Oxford 3000,N/A
ally,4,8193549,Easy word (easy_words.csv),C1
throughout,4,51160616,Oxford 3000,B2
discover,4,27827075,Oxford 3000,B1
saw,4,50570151,"High English frequency (50,570,151 > 20,000,000)",N/A
chain,4,45851350,Oxford 3000,A2
killed,4,23240536,"High English frequency (23,240,536 > 20,000,000)",N/A
lord,4,52474647,Oxford 3000,N/A
threat,4,28395916,Oxford 3000,B2
ruler,4,4506987,Vocabulary level below C (A2),A2
beyond,4,47315243,Oxford 3000,B2
prince,4,25792740,Oxford 3000,B1
tried,4,34201786,"High English frequency (34,201,786 > 20,000,000)",N/A
scene,4,43063991,Oxford 3000,B1
twin,4,27964798,Oxford 3000,B1
won,4,29998103,"High English frequency (29,998,103 > 20,000,000)",N/A
narrow,4,19345395,Oxford 3000,B1
prisoner,4,12036928,Oxford 3000,B1
belief,4,33519887,Oxford 3000,B2
murdered,4,2843529,Easy word (easy_words.csv),N/A
dead,4,48412882,Oxford 3000,A2
terrible,4,8653557,Oxford 3000,A2
happened,4,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
absolutely,4,20816571,Oxford 3000,B1
victory,4,18072704,Oxford 3000,B2
murder,4,17118348,Oxford 3000,B1
horrible,4,6218089,Oxford 3000,A2
waiting,3,30170505,"High English frequency (30,170,505 > 20,000,000)",N/A
wife,3,47510357,Oxford 3000,A1
yourself,3,53653034,Oxford 3000,A2
tower,3,28125182,Oxford 3000,B1
dark,3,50740032,Oxford 3000,A1
incest,3,51428013,"High English frequency (51,428,013 > 20,000,000)",N/A
alright,3,3632981,Vocabulary level below C (A1),A1
essentially,3,9474655,Vocabulary level below C (B2),B2
alone,3,39326417,Oxford 3000,A2
tribe,3,14743472,Vocabulary level below C (B2),B2
anymore,3,10494227,Easy word (easy_words.csv),A2
saying,3,38415068,Easy word (easy_words.csv),C2
realize,3,14098493,Oxford 3000,B1
venture,3,20786478,"High English frequency (20,786,478 > 20,000,000)",C2
brought,3,39794764,"High English frequency (39,794,764 > 20,000,000)",N/A
lover,3,19192091,Vocabulary level below C (B1),B1
cruel,3,4180956,Oxford 3000,B1
rage,3,6645999,Vocabulary level below C (B2),B2
obviously,3,15702193,Oxford 3000,B1
era,3,16930615,Vocabulary level below C (B2),B2
sense,3,52629633,Oxford 3000,B1
lesson,3,40960406,Oxford 3000,A1
killing,3,13478027,Oxford 3000,B1
lie,3,29713856,Oxford 3000,A2
uncle,3,8649726,Oxford 3000,A2
everywhere,3,11153149,Oxford 3000,A2
decide,3,25539449,Oxford 3000,A2
behind,3,53892722,Oxford 3000,A1
absolute,3,16420465,Oxford 3000,B2
literally,3,7123178,Vocabulary level below C (B2),B2
speak,3,39174652,Oxford 3000,A1
worse,3,15677739,Easy word (easy_words.csv),A2
soul,3,38590733,Oxford 3000,A2
honor,3,24511949,"High English frequency (24,511,949 > 20,000,000)",N/A
lose,3,24136984,Oxford 3000,A2
playing,3,51019438,"High English frequency (51,019,438 > 20,000,000)",N/A
watching,3,21543474,"High English frequency (21,543,474 > 20,000,000)",N/A
witness,3,20024599,Oxford 3000,B2
everybody,3,14705200,Oxford 3000,A2
defeat,3,7838694,Oxford 3000,B1
tough,3,13595406,Oxford 3000,B2
fate,3,7682753,Easy word (easy_words.csv),B2
alliance,3,25690053,"High English frequency (25,690,053 > 20,000,000)",C2
calm,2,8109866,Oxford 3000,B1
sit,2,24359793,Oxford 3000,A1
turned,2,34215128,"High English frequency (34,215,128 > 20,000,000)",N/A
golden,2,34489943,"High English frequency (34,489,943 > 20,000,000)",A2
deadly,2,5753158,Vocabulary level below C (B2),B2
truth,2,37860395,Oxford 3000,B2
moral,2,15047040,Oxford 3000,B2
tale,2,21409226,Oxford 3000,B2
innocent,2,8602110,Oxford 3000,B2
arrival,2,20787149,Oxford 3000,B1
totally,2,24276857,Oxford 3000,B1
awake,2,3386179,Vocabulary level below C (B1),B1
apart,2,16535590,Oxford 3000,B1
bound,2,26377045,"High English frequency (26,377,045 > 20,000,000)",C1
chip,2,33793448,Easy word (easy_words.csv),A1
offering,2,43157600,"High English frequency (43,157,600 > 20,000,000)",N/A
hungry,2,6217455,Oxford 3000,A1
suddenly,2,11523262,Oxford 3000,B1
herself,2,13479005,Oxford 3000,A2
turning,2,16004123,Vocabulary level below C (B1),B1
border,2,32208526,Oxford 3000,B1
led,2,49275665,"High English frequency (49,275,665 > 20,000,000)",N/A
giant,2,23823051,Oxford 3000,B1
ice,2,42343402,Oxford 3000,A2
northern,2,53902706,Oxford 3000,B1
nobody,2,14624173,Easy word (easy_words.csv),A2
certainly,2,26984060,Oxford 3000,A2
hear,2,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
capable,2,16380415,Oxford 3000,B2
burning,2,15708456,Vocabulary level below C (B1),B1
amongst,2,7657732,Vocabulary level below C (B2),B2
peace,2,47872263,Oxford 3000,B1
wear,2,32084183,Oxford 3000,A1
chance,2,51442371,Oxford 3000,B1
tear,2,14879736,Oxford 3000,B1
survive,2,8286260,Oxford 3000,B2
leaving,2,23878642,"High English frequency (23,878,642 > 20,000,000)",N/A
older,2,44256753,"High English frequency (44,256,753 > 20,000,000)",N/A
gain,2,42117764,Oxford 3000,B1
extraordinary,2,8513936,Oxford 3000,B1
plot,2,24149993,Oxford 3000,B2
beginning,2,51574347,Oxford 3000,A2
greatness,2,1545552,Vocabulary level below C (B2),B2
danger,2,17519933,Oxford 3000,A2
magical,2,5834922,Vocabulary level below C (B2),B2
deny,2,9808452,Oxford 3000,B2
religion,2,45981107,Oxford 3000,B1
fantasy,2,43092529,"High English frequency (43,092,529 > 20,000,000)",B2
desperate,2,9350873,Oxford 3000,B2
possibly,2,18672516,Oxford 3000,A2
scary,2,5571680,Oxford 3000,B1
launch,2,31170758,Oxford 3000,B2
manage,2,41311660,Oxford 3000,B1
sail,2,6829477,Oxford 3000,B1
knew,2,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
exciting,2,16900145,Oxford 3000,A1
thinking,2,41347669,Oxford 3000,N/A
marry,2,4986925,Oxford 3000,B1
promise,2,16019259,Oxford 3000,B1
perfectly,2,10698357,Oxford 3000,B1
amazing,2,26630190,Oxford 3000,A2
interesting,2,46983244,Oxford 3000,A1
leg,2,39781266,Oxford 3000,A1
journey,2,21987224,Oxford 3000,A2
root,2,54444538,Oxford 3000,B2
ancient,2,23888596,Oxford 3000,B1
magic,2,36764626,Oxford 3000,A2
weakness,2,9335913,Oxford 3000,B2
reach,2,42272594,Oxford 3000,B1
spell,2,12381087,Oxford 3000,A2
definitely,2,15922257,Oxford 3000,B1
pure,2,22853378,Oxford 3000,B1
fear,2,34286384,Oxford 3000,B1
suffer,2,11091354,Oxford 3000,B2
evil,2,26720406,Oxford 3000,B2
clearly,2,32338676,Oxford 3000,A2
cave,2,7668883,Vocabulary level below C (B1),B1
vast,2,11916770,Oxford 3000,B2
desert,2,16762653,Oxford 3000,A2
justice,2,46700513,Oxford 3000,B2
spent,2,29719451,"High English frequency (29,719,451 > 20,000,000)",N/A
longer,2,54063969,"High English frequency (54,063,969 > 20,000,000)",N/A
strip,2,24503131,"High English frequency (24,503,131 > 20,000,000)",C1
cold,2,42009560,Oxford 3000,A1
reveal,2,15183764,Oxford 3000,B2
trap,2,11197166,Vocabulary level below C (B2),B2
mud,2,6173677,Oxford 3000,B2
leaf,2,37317352,Oxford 3000,B1
icy,1,1560875,Vocabulary level below C (B1),B1
suck,1,30261732,"High English frequency (30,261,732 > 20,000,000)",C2
storm,1,25855663,Oxford 3000,A2
sympathetic,1,2127529,Vocabulary level below C (B2),B2
drunk,1,10840975,Oxford 3000,B2
unhappy,1,2736179,Oxford 3000,A2
loyalty,1,5105192,Vocabulary level below C (B2),B2
