word,series_frequency,english_frequency,filter_reason,vocabulary_level
alliance,24,25690053,"High English frequency (25,690,053 > 20,000,000)",C2
captain,21,18971908,Oxford 3000,B1
sir,16,20704773,Oxford 3000,B1
killed,14,23240536,"High English frequency (23,240,536 > 20,000,000)",N/A
okay,13,15466771,Easy word (easy_words.csv),N/A
hear,12,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
boat,11,49704793,Oxford 3000,A1
maybe,10,51946944,Oxford 3000,A2
kill,9,31335290,Oxford 3000,A2
planet,8,32970580,Oxford 3000,B1
parliament,8,16840161,Oxford 3000,B2
talking,8,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
trouble,8,27529484,Oxford 3000,B1
understand,8,65846056,Oxford 3000,A1
crew,8,25430159,Oxford 3000,B1
fight,7,34268222,Oxford 3000,B1
sorry,7,35595812,Oxford 3000,A1
doctor,7,58058321,Oxford 3000,A1
die,7,54277728,Oxford 3000,A1
weapon,6,31661829,Oxford 3000,B2
ride,6,32614205,Oxford 3000,A1
mine,6,34337711,Oxford 3000,A2
ought,6,7523238,Oxford 3000,N/A
shoot,6,15221977,Easy word (easy_words.csv),B1
belief,6,33519887,Oxford 3000,B2
wait,6,41363575,Oxford 3000,A1
wave,6,23713001,Oxford 3000,B1
universe,5,21643935,Oxford 3000,N/A
fighting,5,20036994,Oxford 3000,B2
told,5,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
miss,5,42906521,Oxford 3000,A1
happen,5,47239250,Oxford 3000,A2
exactly,5,31759653,Oxford 3000,A2
fear,5,34286384,Oxford 3000,B1
anybody,5,10367449,Oxford 3000,A2
lie,5,29713856,Oxford 3000,A2
stand,5,65383320,Oxford 3000,A2
wrong,5,49934294,Oxford 3000,A1
safe,5,64247128,Oxford 3000,A1
cause,5,65904680,Oxford 3000,B2
saying,5,38415068,Easy word (easy_words.csv),C2
shot,5,61225531,Oxford 3000,B2
nobody,5,14624173,Easy word (easy_words.csv),A2
backup,5,26786306,"High English frequency (26,786,306 > 20,000,000)",B2
longer,4,54063969,"High English frequency (54,063,969 > 20,000,000)",N/A
drop,4,45620690,Oxford 3000,B1
sin,4,22203268,"High English frequency (22,203,268 > 20,000,000)",C2
pretty,4,51699969,Oxford 3000,A2
crash,4,19789490,Oxford 3000,B1
sister,4,35155790,Oxford 3000,A1
bullet,4,10486892,Oxford 3000,B2
truth,4,37860395,Oxford 3000,B2
plenty,4,14364719,Oxford 3000,B1
edge,4,49695533,Oxford 3000,B1
fly,4,33412987,Oxford 3000,A1
tear,4,14879736,Oxford 3000,B1
paid,4,60294928,"High English frequency (60,294,928 > 20,000,000)",N/A
everybody,4,14705200,Oxford 3000,A2
alive,4,16064787,Easy word (easy_words.csv),B1
somebody,4,11159741,Easy word (easy_words.csv),A2
flying,4,17948471,Oxford 3000,N/A
fair,4,53602058,Oxford 3000,A2
wanted,4,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
speak,4,39174652,Oxford 3000,A1
signal,4,46408529,Oxford 3000,B2
lay,4,17973216,Oxford 3000,N/A
till,4,16477131,Oxford 3000,A2
beat,4,33984529,Easy word (easy_words.csv),B1
wind,4,55603262,Oxford 3000,A1
target,4,66974497,Oxford 3000,B2
outer,3,11287296,Oxford 3000,B2
independent,3,65076298,Oxford 3000,B1
everyone,3,64547036,Oxford 3000,A2
heard,3,45436523,"High English frequency (45,436,523 > 20,000,000)",N/A
eight,3,32784155,Oxford 3000,A1
asleep,3,3967813,Oxford 3000,B1
brother,3,56375413,Oxford 3000,A1
behind,3,53892722,Oxford 3000,A1
secret,3,44597035,Oxford 3000,B1
themself,3,47355436,Oxford 3000,N/A
sleep,3,34887707,Oxford 3000,A1
primary,3,65687551,Oxford 3000,B2
panel,3,63801330,Oxford 3000,C1
interesting,3,46983244,Oxford 3000,A1
explode,3,2561117,Oxford 3000,B1
shiny,3,3192674,Oxford 3000,B1
